,_time,_measurement,machine,Current_1,Current_2,Current_3,Power_Factor,Power_kVA,Power_kVAR,Power_kW,Voltage_1,Voltage_2,Voltage_3
79,2024-01-10 14:55:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.7599639892578,0.0,0.0
80,2024-01-10 14:56:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.7598419189453,0.0,0.0
81,2024-01-10 14:56:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.68145751953125,0.0,0.0
82,2024-01-10 14:56:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.795654296875,0.0,0.0
83,2024-01-10 14:57:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.05343627929688,0.0,0.0
84,2024-01-10 14:57:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.02432250976562,0.0,0.0
85,2024-01-10 14:58:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0691375732422,0.0,0.0
86,2024-01-10 14:58:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.17816162109375,0.0,0.0
87,2024-01-10 14:59:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.14382934570312,0.0,0.0
88,2024-01-10 14:59:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.4192352294922,0.0,0.0
89,2024-01-10 15:00:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.59193420410156,0.0,0.0
90,2024-01-10 15:00:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.249267578125,0.0,0.0
91,2024-01-10 15:01:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.49339294433594,0.0,0.0
92,2024-01-10 15:01:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.24337768554688,0.0,0.0
93,2024-01-10 15:01:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.92953491210938,0.0,0.0
94,2024-01-10 15:02:20+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.94996643066406,0.0,0.0
95,2024-01-10 15:02:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.7979736328125,0.0,0.0
96,2024-01-10 15:03:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.7632598876953,0.0,0.0
97,2024-01-10 15:03:40+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.8314208984375,0.0,0.0
98,2024-01-10 15:04:10+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.57733154296875,0.0,0.0
99,2024-01-10 15:04:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.88421630859375,0.0,0.0
100,2024-01-10 15:05:00+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.3083953857422,0.0,0.0
101,2024-01-10 15:05:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.66270446777344,0.0,0.0
102,2024-01-10 15:05:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.64608764648438,0.0,0.0
103,2024-01-10 15:06:30+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.5934295654297,0.0,0.0
104,2024-01-10 15:06:50+00:00,equipment_power_usage,Machine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.61473083496094,0.0,0.0
