,_time,id,count,Date,Time
226,2023-09-18 10:45:00+00:00,line_1,,2023-09-18,10:45:00
227,2023-09-18 10:50:00+00:00,line_1,,2023-09-18,10:50:00
228,2023-09-18 10:55:00+00:00,line_1,,2023-09-18,10:55:00
229,2023-09-18 11:00:00+00:00,line_1,,2023-09-18,11:00:00
230,2023-09-18 11:05:00+00:00,line_1,,2023-09-18,11:05:00
231,2023-09-18 11:10:00+00:00,line_1,,2023-09-18,11:10:00
232,2023-09-18 11:15:00+00:00,line_1,,2023-09-18,11:15:00
233,2023-09-18 11:20:00+00:00,line_1,,2023-09-18,11:20:00
234,2023-09-18 11:25:00+00:00,line_1,,2023-09-18,11:25:00
235,2023-09-18 11:30:00+00:00,line_1,,2023-09-18,11:30:00
236,2023-09-18 11:35:00+00:00,line_1,,2023-09-18,11:35:00
237,2023-09-18 11:40:00+00:00,line_1,,2023-09-18,11:40:00
238,2023-09-18 11:45:00+00:00,line_1,,2023-09-18,11:45:00
239,2023-09-18 11:50:00+00:00,line_1,,2023-09-18,11:50:00
240,2023-09-18 11:55:00+00:00,line_1,,2023-09-18,11:55:00
241,2023-09-18 12:00:00+00:00,line_1,,2023-09-18,12:00:00
242,2023-09-18 12:05:00+00:00,line_1,,2023-09-18,12:05:00
243,2023-09-18 12:10:00+00:00,line_1,,2023-09-18,12:10:00
244,2023-09-18 12:15:00+00:00,line_1,,2023-09-18,12:15:00
245,2023-09-18 12:20:00+00:00,line_1,,2023-09-18,12:20:00
246,2023-09-18 12:25:00+00:00,line_1,,2023-09-18,12:25:00
247,2023-09-18 12:30:00+00:00,line_1,,2023-09-18,12:30:00
248,2023-09-18 12:35:00+00:00,line_1,,2023-09-18,12:35:00
249,2023-09-18 12:40:00+00:00,line_1,,2023-09-18,12:40:00
250,2023-09-18 12:45:00+00:00,line_1,,2023-09-18,12:45:00
251,2023-09-18 12:50:00+00:00,line_1,,2023-09-18,12:50:00
252,2023-09-18 12:55:00+00:00,line_1,,2023-09-18,12:55:00
253,2023-09-18 13:00:00+00:00,line_1,,2023-09-18,13:00:00
254,2023-09-18 13:05:00+00:00,line_1,,2023-09-18,13:05:00
255,2023-09-18 13:10:00+00:00,line_1,,2023-09-18,13:10:00
256,2023-09-18 13:15:00+00:00,line_1,,2023-09-18,13:15:00
257,2023-09-18 13:20:00+00:00,line_1,,2023-09-18,13:20:00
258,2023-09-18 13:25:00+00:00,line_1,,2023-09-18,13:25:00
259,2023-09-18 13:30:00+00:00,line_1,,2023-09-18,13:30:00
260,2023-09-18 13:35:00+00:00,line_1,,2023-09-18,13:35:00
261,2023-09-18 13:40:00+00:00,line_1,,2023-09-18,13:40:00
262,2023-09-18 13:45:00+00:00,line_1,,2023-09-18,13:45:00
263,2023-09-18 13:50:00+00:00,line_1,,2023-09-18,13:50:00
264,2023-09-18 13:55:00+00:00,line_1,,2023-09-18,13:55:00
265,2023-09-18 14:00:00+00:00,line_1,,2023-09-18,14:00:00
