,_time,id,count
260,2023-09-17 13:05:00+00:00,line_1,
261,2023-09-17 13:10:00+00:00,line_1,
262,2023-09-17 13:15:00+00:00,line_1,
263,2023-09-17 13:20:00+00:00,line_1,
264,2023-09-17 13:25:00+00:00,line_1,
265,2023-09-17 13:30:00+00:00,line_1,
266,2023-09-17 13:35:00+00:00,line_1,
267,2023-09-17 13:40:00+00:00,line_1,
268,2023-09-17 13:45:00+00:00,line_1,
269,2023-09-17 13:50:00+00:00,line_1,
270,2023-09-17 13:55:00+00:00,line_1,
271,2023-09-17 14:00:00+00:00,line_1,
272,2023-09-17 14:05:00+00:00,line_1,
273,2023-09-17 14:10:00+00:00,line_1,
274,2023-09-17 14:15:00+00:00,line_1,
275,2023-09-17 14:20:00+00:00,line_1,
276,2023-09-17 14:25:00+00:00,line_1,
277,2023-09-17 14:30:00+00:00,line_1,
278,2023-09-17 14:35:00+00:00,line_1,
279,2023-09-17 14:40:00+00:00,line_1,
280,2023-09-17 14:45:00+00:00,line_1,
281,2023-09-17 14:50:00+00:00,line_1,
282,2023-09-17 14:55:00+00:00,line_1,
283,2023-09-17 15:00:00+00:00,line_1,
284,2023-09-17 15:05:00+00:00,line_1,
285,2023-09-17 15:10:00+00:00,line_1,
286,2023-09-17 15:15:00+00:00,line_1,
287,2023-09-17 15:20:00+00:00,line_1,
288,2023-09-17 15:25:00+00:00,line_1,
289,2023-09-17 15:30:00+00:00,line_1,
290,2023-09-17 15:35:00+00:00,line_1,
291,2023-09-17 15:40:00+00:00,line_1,
292,2023-09-17 15:45:00+00:00,line_1,
293,2023-09-17 15:50:00+00:00,line_1,
294,2023-09-17 15:55:00+00:00,line_1,
295,2023-09-17 16:00:00+00:00,line_1,
296,2023-09-17 16:05:00+00:00,line_1,
297,2023-09-17 16:10:00+00:00,line_1,
298,2023-09-17 16:15:00+00:00,line_1,
299,2023-09-17 16:20:00+00:00,line_1,
300,2023-09-17 16:25:00+00:00,line_1,
301,2023-09-17 16:30:00+00:00,line_1,
302,2023-09-17 16:35:00+00:00,line_1,
303,2023-09-17 16:40:00+00:00,line_1,
304,2023-09-17 16:45:00+00:00,line_1,
305,2023-09-17 16:50:00+00:00,line_1,
306,2023-09-17 16:55:00+00:00,line_1,
307,2023-09-17 17:00:00+00:00,line_1,
308,2023-09-17 17:05:00+00:00,line_1,
309,2023-09-17 17:10:00+00:00,line_1,
310,2023-09-17 17:15:00+00:00,line_1,
311,2023-09-17 17:20:00+00:00,line_1,
312,2023-09-17 17:25:00+00:00,line_1,
313,2023-09-17 17:30:00+00:00,line_1,
314,2023-09-17 17:35:00+00:00,line_1,
315,2023-09-17 17:40:00+00:00,line_1,
316,2023-09-17 17:45:00+00:00,line_1,
317,2023-09-17 17:50:00+00:00,line_1,
318,2023-09-17 17:55:00+00:00,line_1,
319,2023-09-17 18:00:00+00:00,line_1,
320,2023-09-17 18:05:00+00:00,line_1,
321,2023-09-17 18:10:00+00:00,line_1,
322,2023-09-17 18:15:00+00:00,line_1,
323,2023-09-17 18:20:00+00:00,line_1,
324,2023-09-17 18:25:00+00:00,line_1,
325,2023-09-17 18:30:00+00:00,line_1,
326,2023-09-17 18:35:00+00:00,line_1,
327,2023-09-17 18:40:00+00:00,line_1,
328,2023-09-17 18:45:00+00:00,line_1,
329,2023-09-17 18:50:00+00:00,line_1,
330,2023-09-17 18:55:00+00:00,line_1,
331,2023-09-17 19:00:00+00:00,line_1,
332,2023-09-17 19:05:00+00:00,line_1,
333,2023-09-17 19:10:00+00:00,line_1,
334,2023-09-17 19:15:00+00:00,line_1,
335,2023-09-17 19:20:00+00:00,line_1,
336,2023-09-17 19:25:00+00:00,line_1,
337,2023-09-17 19:30:00+00:00,line_1,
338,2023-09-17 19:35:00+00:00,line_1,
339,2023-09-17 19:40:00+00:00,line_1,
340,2023-09-17 19:45:00+00:00,line_1,
341,2023-09-17 19:50:00+00:00,line_1,86.0
